2025-05-29 10:39:13,053 INFO    MainThread:4689 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-29 10:39:13,054 INFO    MainThread:4689 [wandb_setup.py:_flush():70] Configure stats pid to 4689
2025-05-29 10:39:13,054 INFO    MainThread:4689 [wandb_setup.py:_flush():70] Loading settings from /home/idveiwd-07/.config/wandb/settings
2025-05-29 10:39:13,054 INFO    MainThread:4689 [wandb_setup.py:_flush():70] Loading settings from /home/idveiwd-07/AA276/MPC_based_Reachability/wandb/settings
2025-05-29 10:39:13,054 INFO    MainThread:4689 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-29 10:39:13,054 INFO    MainThread:4689 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/idveiwd-07/AA276/MPC_based_Reachability/wandb/run-20250529_103913-eo05mtm3/logs/debug.log
2025-05-29 10:39:13,054 INFO    MainThread:4689 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/idveiwd-07/AA276/MPC_based_Reachability/wandb/run-20250529_103913-eo05mtm3/logs/debug-internal.log
2025-05-29 10:39:13,054 INFO    MainThread:4689 [wandb_init.py:init():852] calling init triggers
2025-05-29 10:39:13,054 INFO    MainThread:4689 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'epochs': 2000, 'batch_size': 32, 'stage': 1, '_wandb': {}}
2025-05-29 10:39:13,054 INFO    MainThread:4689 [wandb_init.py:init():893] starting backend
2025-05-29 10:39:13,054 INFO    MainThread:4689 [wandb_init.py:init():897] sending inform_init request
2025-05-29 10:39:13,059 INFO    MainThread:4689 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-29 10:39:13,059 INFO    MainThread:4689 [wandb_init.py:init():907] backend started and connected
2025-05-29 10:39:13,060 INFO    MainThread:4689 [wandb_init.py:init():1005] updated telemetry
2025-05-29 10:39:13,063 INFO    MainThread:4689 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-29 10:39:13,403 INFO    MainThread:4689 [wandb_init.py:init():1104] starting run threads in backend
2025-05-29 10:39:13,583 INFO    MainThread:4689 [wandb_run.py:_console_start():2573] atexit reg
2025-05-29 10:39:13,583 INFO    MainThread:4689 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-29 10:39:13,583 INFO    MainThread:4689 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-29 10:39:13,584 INFO    MainThread:4689 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-29 10:39:13,587 INFO    MainThread:4689 [wandb_init.py:init():1150] run started, returning control to user process
